GROUP_NAME,DESCRIPTION,SMARTS_STRING,EXAMPLE_SMILES,COMPOUND_PROPOSAL_RULE,NEW_BB_PURCHASE_RULE
Alkyne,Matches both internal and terminal alkynes. Can be heterosubstituted,[CX2]#[CX2],[2H]CC#C,Ignore,Ignore
Alkyne (Terminal),Terminal Alkyne. Can be heterosubstituted,[CX2]#[CX2H1],[2H]CC#C,Ignore,Ignore
Allene,Allene,C=C=C,[2H]CC=C=C,Warn,Alert
Alpha Amino Ester,"Amine is either primary or secondary. Note: By default, aziridine esters will match both alpha and beta amino esters.","[#6][OX2][CX3](=[OX1])[CX4][NX3!H0&!$([NX3][A]=,#[A$([!#6])])]",N[C@@H](C[2H])C(OCC)=O,Warn,Alert
Alpha Amino Ethyl Ester,"Amine is either primary or secondary. Note: By default, aziridine esters will match both alpha and beta amino esters.","[CX4H3][CX4H2][OX2][CX3](=[OX1])[CX4][NX3!H0&!$([NX3][A]=,#[A$([!#6])])]",N[C@@H](C[2H])C(OCC)=O,Warn,Alert
Alpha-beta unsaturated amide,Acrylamide or propiolamide,"NC(=O)C=,#C",O=C(NC)C=CC[2H],Warn,Alert
Alpha-beta unsaturated carboxylic acid,Acrylic or propiolic acid. Does not match acrylate or propiolate esters,"[O-,OH]C(=O)C=,#C",O=C(O)C=CC[2H],Warn,Alert
Alpha-beta unsaturated ester,Acrylate or propiolate,"[#6]OC(=O)C=,#C",O=C(OCC)C=CC[2H],Warn,Alert
Alpha-beta unsaturated ketone,Alpha-beta unsaturated ketone. Unsaturation can be an alkene or alkyne,"[#6]C(=O)C=,#C",O=C(C)C=CC[2H],Warn,Alert
Alpha-Beta Unsaturated Sulfoxide or Sulfone,"S must be double bonded to at least one oxygen, and the carbon must be aliphatic and double or triple bonded to another aliphatic carbon","C(=,#C)S=O",CS(C=CC[2H])(=O)=O,Warn,Alert
Amidine,Matches either tautomer. Must have H on at least one of the Ns. The sp2 N cannot be part of an amide-like structure.,"[$([NX3][CX3]([#6])=[NX2H1!$([N][A]=,#[A$([!#6])])]),$([NX3!H0][CX3]([#6])=[NX2!$([N][A]=,#[A$([!#6])])])]",N=C(C[2H])N,Alert,Alert
Amine-Heteroatom,"sp3 aliphatic nitrogen which is not acyl,sulfonyl etc., and is bonded to a heteroatom","[!$([NX3][A]=,#[A$([!#6])])&$([NX3!H0][A$([!#6])])]",CONC[2H],Ignore,Ignore
Amino Acid,"Amine can be primary or secondary, aliphatic or aromatic. Any positioning relative to the acid is allowed.","[$([!$([#7X3][A]=,#[A$([!#6])])&$([$([NX3H2][#6]C(=O)[$([OH]),$([O-])]),$([NX3H1]([#6])[#6]C(=O)[$([OH]),$([O-])])])]),$(C(=O)[$([OH]),$([O-])].[!$([#7X3][A]=,#[A$([!#6])])&$([$([NX3H2][#6]),$([NX3H1]([#6])[#6])])])]",[2H]CNCC(O)=O,Warn,Ignore
Anhydride,Anhydride,C(=O)OC(=O),O=C(OC(C)=O)C[2H],Alert,Alert
Any Atom,Any Atom,*,CC[2H],Ignore,Ignore
Aromatic N - Aliphatic N O or S,"Aromatic N single bonded to an aliphatic atom, which is either N, O or S.","n[N,O,S]",NN1C=C(C[2H])C=C1,Alert,Alert
Aromatic NNH,"Aromatic nitrogen bonded to aromatic nitrogen with one H atom, within a 5-membered heteroaryl ring, and not part of a carbonyl (on either nitrogen).",[n$([nr5H1])&$(nn)&!$(nc[OH1])&!$(nnc[OH1])&!$(nc=O)&!$(nnc=O)],[2H]CC1=CNN=C1,Ignore,Ignore
Aryl AND Vinyl or Alkynyl Chloride Bromide or Iodide,Does not match acyl or oximinoyl halides.,"C=,#C[Cl,Br,I].c[Cl,Br,I]",[2H]CC(/C=C\Br)C1=CC=C(Br)C=C1,Ignore,Ignore
Aryl AND Vinyl or Alkynyl Bromide or Iodide,Does not match acyl or oximinoyl halides.,"C=,#C[Br,I].c[Br,I]",[2H]CC(/C=C\Br)C1=CC=C(Br)C=C1,Ignore,Ignore
Aryl Br or I,Aryl Br or I,"c[Br,I]",[2H]CC1=CC=C(Br)C=C1,Ignore,Ignore
Aryl Bromide,"Does not match vinyl, acyl, oximinoyl or alkyl bromides.",cBr,[2H]CC1=CC=C(Br)C=C1,Ignore,Ignore
Aryl Chloride,"Does not match vinyl, acyl, oximinoyl or alkyl chlorides.",cCl,[2H]CC1=CC=C(Cl)C=C1,Ignore,Ignore
Aryl Cl Br or I,"Aryl Cl, Br or I","c[Cl,Br,I]",[2H]CC1=CC=C(Br)C=C1,Ignore,Ignore
Aryl Iodide,"Does not match vinyl, acyl, oximinoyl or alkyl iodides.",cI,[2H]CC1=CC=C(I)C=C1,Alert,Alert
Aryl Tosylate,Other substitution on the aromatic ring is allowed.,cOS(=O)(=O)c1ccc(C)cc1,O=S(OC1=CC=C(C[2H])C=C1)(C2=CC=C(C)C=C2)=O,Alert,Alert
Aryl Triflate,Aromatic Triflate,cOS(=O)(=O)C(F)(F)F,C1=CC=CC=C1OS(=O)(C(F)(F)F)=O,Alert,Alert
Aryl or Vinyl or Alkynyl Bromide,Does not match acyl or oximinoyl halides.,"[$(C=,#CBr),$(cBr])]",[2H]CC1=CC=C(Br)C=C1,Ignore,Ignore
Aryl or Vinyl or Alkynyl Bromide or Iodide,Does not match acyl or oximinoyl halides.,"[$(C=,#C[Br,I]),$(c[Br,I])]",[2H]CC1=CC=C(Br)C=C1,Ignore,Ignore
Aryl or Vinyl or Alkynyl Chloride Bromide or Iodide,Does not match acyl or oximinoyl halides.,"[$(C=,#C[Cl,Br,I]),$(c[Cl,Br,I])]",[2H]CC1=CC=C(Br)C=C1,Ignore,Ignore
Arylmethylamine,"Amine can be primary or secondary, aliphatic or aromatic. Linked to an aromatic ring via a methylene (so, benzylic), but in this case, there cannot be substitution on the benzylic carbon.","[!$([#7X3][A]=,#[A$([!#6])])&$([$([NX3H2][CX4H2]c),$([NX3H1]([#6])[CX4H2]c)])]",[2H]CNCC1=CC=CC=C1,Ignore,Ignore
Azide,"Azide is bonded to a carbon.Matches either resonance structure, and the N-protonated cationic structure.","[$([#6]-[NX2-]-[NX2+]#[NX1]),$([#6]-[NX2]=[NX2+]=[NX1-]),$([#6]-[NX2]=[NX2+]=[NX2H1])]",[2H]CN=[N+]=[N-],Alert,Alert
Aziridine,Aziridine,C1NC1,[2H]C[C@H]1CN1,Ignore,Ignore
Diazo,Aliphatic nitrogen double bonded to aliphatic nitrogen,N=N,[2H]CN=NC,Alert,Alert
Benzimidazole (Phenyl or Aza),C8 substituted with aliphatic or aromatic carbon. N1 could be substituted or unsubstituted.,n1c([#6])nc(c12)aaaa2,CC1=NC2=CC=CC=C2N1C[2H],Ignore,Ignore
Beta Amino Ester,"Amine is either primary or secondary.Note: By default, aziridine esters will match both alpha and beta amino esters.","[#6][OX2][CX3](=[OX1])[CX4][CX4][NX3!H0&!$([NX3][A]=,#[A$([!#6])])]",NC[C@@H](C[2H])C(OCC)=O,Warn,Ignore
Beta Primary Amino Acid,Amine is primary,"[OH1][CX3](=[OX1])[CX4][CX4][!$([NX3][A]=,#[A$([!#6])])&$([NX3H2][#6])]",NC[C@H](C[2H])C(O)=O,Warn,Ignore
Beta Primary Amino Ester,Amine is primary,"[#6][OX2][CX3](=[OX1])[CX4][CX4][!$([NX3][A]=,#[A$([!#6])])&$([NX3H2][#6])]",NC[C@H](C[2H])C(OC)=O,Warn,Ignore
Beta Primary Amino Primary Amide,Amine and amide are both primary,"[NX3H2][CX3](=[OX1])[CX4][CX4][!$([NX3][A]=,#[A$([!#6])])&$([NX3H2][#6])]",NC[C@H](C[2H])C(N)=O,Ignore,Ignore
Beta Secondary Amino Acid,Amine is secondary,"[OH1][CX3](=[OX1])[CX4][CX4][!$([NX3][A]=,#[A$([!#6])])&$([NX3H1][#6])]",CNC[C@H](C[2H])C(O)=O,Warn,Ignore
Beta Secondary Amino Ester,Amine is secondary,"[#6][OX2][CX3](=[OX1])[CX4][CX4][!$([NX3][A]=,#[A$([!#6])])&$([NX3H1][#6])]",CNC[C@H](C[2H])C(OC)=O,Warn,Ignore
Beta Secondary Amino Primary Amide,Amine is secondary and amide is primary,"[NX3H2][CX3](=[OX1])[CX4][CX4][!$([NX3][A]=,#[A$([!#6])])&$([NX3H1][#6])]",CNC[C@H](C[2H])C(N)=O,Ignore,Ignore
Bis-Benzylic Carbon,An aliphatic carbon with at least one hydrogen bonded to at least 2 aromatic carbon atoms,c[C!H0]c,[2H]CC(C1=CC=CC=C1)C2=CC=CC=C2,Warn,Ignore
"Boc Diamine (Prim. Unprot, Prim. Prot.)","Unprotected amine can be aliphatic or aromatic, protected amine can be aliphatic or aromatic.","[!$([NX3][A]=,#[A$([!#6])])&$([NX3H2][#6])].[!$([#7X3]([A]=,#[A$([!#6])])[A]=,#[A$([!#6])])&$([NX3H1]([CX3](=[OX1])[OX2][CX4]([CX4H3])([CX4H3])[CX4H3])[#6])]",NC[C@H](C[2H])NC(OC(C)(C)C)=O,Warn,Ignore
"Boc Diamine (Prim. Unprot, Sec. Prot.)","Unprotected amine can be aliphatic or aromatic, protected amine must be aliphatic","[!$([NX3][A]=,#[A$([!#6])])&$([NX3H2][#6])].[!$([#7X3]([A]=,#[A$([!#6])])[A]=,#[A$([!#6])])&$([NX3H0]([CX3](=[OX1])[OX2][CX4]([CX4H3])([CX4H3])[CX4H3])([C])[C])]",NC[C@H](C[2H])N(C)C(OC(C)(C)C)=O,Warn,Ignore
"Boc Diamine (Sec. Unprot, Prim. Prot.)","Unprotected amine must be aliphatic, protected amine can be aliphatic or aromatic","[!$([NX3][A]=,#[A$([!#6])])&$([NX3H1](C)C)].[!$([#7X3]([A]=,#[A$([!#6])])[A]=,#[A$([!#6])])&$([NX3H1]([CX3](=[OX1])[OX2][CX4]([CX4H3])([CX4H3])[CX4H3])[#6])]",[2H]CNCCNC(OC(C)(C)C)=O,Warn,Ignore
"Boc Diamine (Sec. Unprot, Sec. Prot.)",Unprotected and protected amine must both be aliphatic,"[!$([NX3][A]=,#[A$([!#6])])&$([NX3H1](C)C)].[!$([#7X3]([A]=,#[A$([!#6])])[A]=,#[A$([!#6])])&$([NX3H0]([CX3](=[OX1])[OX2][CX4]([CX4H3])([CX4H3])[CX4H3])([C])[C])]",[2H]CNCCN(C)C(OC(C)(C)C)=O,Warn,Ignore
Boc Fmoc Diamine,Will not match imides (must deprotect to an amine),"[!$([#7X3]([A]=,#[A$([!#6])])[A]=,#[A$([!#6])])&$([NX3]([CX3](=[OX1])[OX2][CX4H2][CX4H1]1c(:c:c:c:c2):c2-c3:c1c:c:c:c3)[#6])].[!$([#7X3]([A]=,#[A$([!#6])])[A]=,#[A$([!#6])])&$([NX3]([CX3](=[OX1])[OX2][CX4]([CX4H3])([CX4H3])[CX4H3])[#6])]",[2H]C[C@@H](CNC(OCC1C(C=CC=C2)=C2C3=C1C=CC=C3)=O)CNC(OC(C)(C)C)=O,Alert,Alert
Boc Protected Amine,Will not match imides (must deprotect to an amine). Will not match Boc-ammonia.,"[!$([#7X3]([A]=,#[A$([!#6])])[A]=,#[A$([!#6])])&$([NX3]([CX3](=[OX1])[OX2][CX4]([CX4H3])([CX4H3])[CX4H3])[#6])]",[2H]CNC(OC(C)(C)C)=O,Warn,Ignore
Boc Protected Primary Amine,Will not match imides (must deprotect to an amine). Will not match Boc-ammonia.,"[!$([#7X3]([A]=,#[A$([!#6])])[A]=,#[A$([!#6])])&$([NX3H1]([CX3](=[OX1])[OX2][CX4]([CX4H3])([CX4H3])[CX4H3])[#6])]",[2H]CNC(OC(C)(C)C)=O,Warn,Ignore
Boc Protected Secondary Amine,Will not match imides (must deprotect to an amine). Will not match Boc-ammonia.,"[!$([#7X3]([A]=,#[A$([!#6])])[A]=,#[A$([!#6])])&$([NX3H0]([CX3](=[OX1])[OX2][CX4]([CX4H3])([CX4H3])[CX4H3])([#6])[#6])]",[2H]CN(C)C(OC(C)(C)C)=O,Warn,Alert
Boron,Aliphatic boron,[B],OB(O)C1=CC=C(C[2H])C=C1,Warn,Alert
Boronate (acid or ester),Boronate (alkyl or aryl),"[#6][B$(B([OR0])[OR0]),$(B([OR1])[OR1])]",OB(O)C1=CC=C(C[2H])C=C1,Warn,Alert
Boronic Acid,Boron must be sp2 (can't be negatively charged with a fourth substituent),[#6][BX3]([OD1h1])[OD1h1],OB(O)C1=CC=C(C[2H])C=C1,Warn,Alert
Boronic Acid Cyclic Monoester,Boron must be sp2 (can't be negatively charged with a fourth substituent),[BX3]1([OX2H1])[OX2][CX4][cR2][cR2]1,OB1C(C=CC(C[2H])=C2)=C2CO1,Warn,Alert
Boronic Ester,Boron must be sp2 (can't be negatively charged with a fourth substituent). Both oxygens are substituted with carbons.,[#6][BX3](O[#6])O[#6],CC1(C)OB(OC1(C)C)C2=CC=C(C)C=C2,Warn,Alert
Boronic Pinacol Ester,Boron must be sp2 (can't be negatively charged with a fourth substituent),[#6][BX3]1OC(C)(C)C(C)(C)O1,CC1(C)OB(OC1(C)C)C2=CC=C(C[2H])C=C2,Warn,Alert
Bridged Ring System,"Bridged ring system, allowing up to 4 atoms on each branch","[$(A~1~2~*~A(~*~1)~*~2),$(A~1~2~*~A(~*~1)~*~*~2),$(A~1~2~*~A(~*~1)~*~*~*~2),$(A~1~2~*~A(~*~1)~*~*~*~*~2),$(A~1~2~*~A(~*~*~1)~*~*~2),$(A~1~2~*~A(~*~*~1)~*~*~*~2),$(A~1~2~*~A(~*~*~1)~*~*~*~*~2),$(A~1~2~*~A(~*~*~*~1)~*~*~*~2),$(A~1~2~*~A(~*~*~*~1)~*~*~*~*~2),$(A~1~2~*~A(~*~*~*~*~1)~*~*~*~*~2),$(A~1~2~*~*~A(~*~*~1)~*~*~2),$(A~1~2~*~*~A(~*~*~1)~*~*~*~2),$(A~1~2~*~*~A(~*~*~1)~*~*~*~*~2),$(A~1~2~*~*~A(~*~*~*~1)~*~*~*~2),$(A~1~2~*~*~A(~*~*~*~1)~*~*~*~*~2),$(A~1~2~*~*~A(~*~*~*~*~1)~*~*~*~*~2),$(A~1~2~*~*~*~A(~*~*~*~1)~*~*~*~2),$(A~1~2~*~*~*~A(~*~*~*~1)~*~*~*~*~2),$(A~1~2~*~*~*~A(~*~*~*~*~1)~*~*~*~*~2),$(A~1~2~*~*~*~*~A(~*~*~*~*~1)~*~*~*~*~2)]",[2H]CC1C2CC1C2,Ignore,Ignore
Carbamate,Carbamate. Allows for substitution at O that is not necessarily carbon.,NC(=O)O,[2H]CNC(OC)=O,Warn,Ignore
Carbodiimide,Carbodiimide. The nitrogens can be substituted or unsubstituted.,N=C=N,[2H]CN=C=NC,Alert,Alert
Carbon (Aliphatic),Aliphatic carbon,C,CC[2H],Ignore,Ignore
Carboxylic Acid,Carboxylic acid or carboxylate,"[#6][CX3](=[OX1])[$([OD1h1]),$([O-])]",[2H]CC(O)=O,Warn,Alert
Cbz Protected Amine,Will not match imides (must deprotect to an amine). Will not match Cbz-ammonia.,"[!$([#7X3]([A]=,#[A$([!#6])])[A]=,#[A$([!#6])])&$([NX3]([CX3](=[OX1])[OX2][CX4H2]c1ccccc1)[#6])]",[2H]CNC(OCC1=CC=CC=C1)=O,Warn,Ignore
Chlorotriazine,"Other substitution is allowed, but must be chloro, and must be a triazine ring.",Clc1ncncn1,Clc1ncnc(C[2H])n1,Warn,Alert
Cyanoacetamide,"Methylene is unsubstituted, any substitution on the nitrogen is allowed",[NX3]C(=O)[CX4H2]C#N,O=C(CC#N)NC[2H],Ignore,Ignore
Cyclobutene,Cyclobutene,C1CC=C1,[2H]CC1=CCC1,Warn,Alert
Cyclopropane-mono_or_polysubstituted,Multiple substitutions on the cyclopropyl ring.,C1CC1,[2H]CC1CC1,Ignore,Ignore
Cyclopropane-monosubstitued,Monosubstituted cyclopropyl.,[CX4H1]1[CX4H2][CX4H2]1,[2H]CC1CC1,Ignore,Ignore
Cyclopropene,Cyclopropene,C1C=C1,[2H]CC1=CC1,Alert,Alert
C13,Carbon 13,[13C],[13C]C[2H],Warn,Alert
Deuterium,Deuterium,[2H],[2H]CC,Warn,Alert
Diazacyclobutene,"Four membered ring with two nitrogens singly bonded to each other, and the other two atoms are carbon which are either part of an aromatic ring or double bonded to each other","[#7]1[#7][#6]=,:[#6]1",[2H]CC1=CNN1,Alert,Alert
Dichlorotriazine,Any substitution is allowed at the 6 position,Clc1nc(Cl)ncn1,ClC1=NC(C[2H])=NC(Cl)=N1,Alert,Alert
Diene (custom definition),"Definition developed in collaboration with XCM team. Matches one of the following cases: 1) a ring bond flanked by two alkenes, at least one of which is not in a ring, 2) a cyclopentadiene, 3) a cyclohexa-1,3-diene, 4) a cyclohepta-1,3-diene or 5) a cycloocta-1,3-diene","[$(C=[#6]@[#6]=&!@C),$(C1=&@[#6]@[#6]=&@CC1),$(C1=&@[#6]@[#6]=&@CCC1),$(C1=&@[#6]@[#6]=&@CCCC1),$(C1=&@[#6]@[#6]=&@CCCCC1)]",[2H]CC1C=CC=C1,Alert,Alert
Diketopiperazine,Both nitrogens are substituted,[#6]N1[CX3](=O)[CX4]N([#6])[CX3](=O)[CX4]1,CN(CC(N(CC[2H])C1)=O)C1=O,Ignore,Ignore
Dialkoxyarene,"Ortho, meta or para dialkoxyarene. The arene must be a six-membered ring, but could be either phenyl or heteroaryl.","[CX4][OX2][c$([cr6R1]@[aR1][OX2][CX4]),c$([cr6R1]@[aR1]@[aR1][OX2][CX4]),c$([cr6R1]@[aR1]@[aR1]@[aR1][OX2][CX4])]",COC1=CC(C)=CC=C1OC,Warn,Ignore
Diselenide,Selenium single bonded to selenium,[Se][Se],[2H]C[Se][Se]C,Alert,Alert
Disulfide,Sulfur single bonded to sulfur,SS,[2H]CSSC,Alert,Alert
Divalent F Cl Br or I,F Cl Br or I with a bond order of 2,"[$([Fv2]),$([Clv2]),$([Brv2]),$([Iv2])]",[2H]CFC,Alert,Alert
Electron rich phenol,"Phenol on a phenyl ring with ortho or para O, N or divalent S substitution, and without ortho or para carbonyl (or =N or =S variants)/F/Cl/nitrile/CF/nitro substitution","[$([$([OH1]c1c([O,N+0,SX2])cccc1),$([OH1]c1ccc([O,N+0,SX2])cc1)])&!$([$([OH1]c([$(aA=[O,N,S]),$(a[F,Cl]),$(aC#N),$(aCF),$(a[$([NX3](=O)=O),$([NX3+](=O)[O-])])])),$([OH1]caa([$(aA=[O,N,S]),$(a[F,Cl]),$(aC#N),$(aCF),$(a[$([NX3](=O)=O),$([NX3+](=O)[O-])])])),$([OH1]caa[$([NX3](=O)=O),$([NX3+](=O)[O-])])])]",CC1=CC=C(O)C(OC)=C1,Alert,Alert
Electron poor phenol,"Phenol with ortho or para carbonyl (or =N or =S variants)/F/Cl/nitrile/CF/nitro substitution, and without ortho or para O, N or divalent S substitution, or is heteroaryl","[!$([$([OH1]ca([O,N+0,SX2])),$([OH1]caaa[O,N+0,SX2])])&$([$([OH1][cr5]),$([OH1][c!$(c1ccccc1)]),$([OH1]c([$(aA=[O,N,S]),$(a[F,Cl]),$(aC#N),$(aCF),$(a[$([NX3](=O)=O),$([NX3+](=O)[O-])])])),$([OH1]caa([$(aA=[O,N,S]),$(a[F,Cl]),$(aC#N),$(aCF),$(a[$([NX3](=O)=O),$([NX3+](=O)[O-])])])),$([OH1]caa[$([NX3](=O)=O),$([NX3+](=O)[O-])])])]",OC1=CC=CC=C1[N+]([O-])=O,Warn,Warn
Enamine,Aliphatic amine bonded to an alkene or alkyne,"[!$([#7X3][A]=,#[A$([!#6])])&$([$([NX3H2][#6]),$([NX3H0]([#6])([#6])[#6]),$([NX3H1]([#6])[#6])])]C=,#C",[2H]CC=CN,Warn,Alert
Ene-Thioether or Thiol,Thioether or thiol bonded to an aliphatic carbon which is double or triple bonded to another aliphatic carbon,"[SX2]C=,#C",[2H]CC=CS,Alert,Alert
